rna	profile	energy
1ATO.pdb	hist_tig_C3prime_bin0.5	-1.541785823
1ATO.pdb	hist_pmf_C3prime_bin0.5	-0.829101308
1ATO.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-4.818667149
1ATO.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-2.038312003
1ATO.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-4.138424949
1ATO.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-1.57583547
1EBQ.pdb	hist_tig_C3prime_bin0.5	-2.99145167
1EBQ.pdb	hist_pmf_C3prime_bin0.5	-1.802680411
1EBQ.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-4.190447523
1EBQ.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-0.605786294
1EBQ.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-3.290505424
1EBQ.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	0.177096542
1BGZ.pdb	hist_tig_C3prime_bin0.5	-2.382582185
1BGZ.pdb	hist_pmf_C3prime_bin0.5	-1.60895111
1BGZ.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-4.331676032
1BGZ.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-2.836271504
1BGZ.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-4.302056338
1BGZ.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-2.911665471
1FFZ.pdb	hist_tig_C3prime_bin0.5	-53.7445407
1FFZ.pdb	hist_pmf_C3prime_bin0.5	-16.93640486
1FFZ.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-262.4949026
1FFZ.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-144.3949957
1FFZ.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-174.9540732
1FFZ.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-69.7957652
1A4D.pdb	hist_tig_C3prime_bin0.5	-0.000823111
1A4D.pdb	hist_pmf_C3prime_bin0.5	0.219991115
1A4D.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	0.572717551
